"aprocactus","aprocactus hybr","image/aprocactus_hybr.jpg"
"aprocactus","aprocactus vidi","image/aprocactus_vidi.jpg"
"astrophytum","astrophytum hybr","image/astrophytum_hybr.jpg"
"astrophytum","astrophytum miriostigma","image/astrophytum_miriostigma.jpg"
"astrophytum","astrophytum ornatum","image/astrophytum_ornatum.jpg"
"brouningia","brouningia hertlingiana","image/brouningia_hertlingiana.jpg"
"cephalocereus","cephalocereus senilis","image/cephalocereus_senilis.jpg"
"cereus","cereus peruvianis","image/cereus_peruvianis.jpg"
"cleistocactus","cleistocactus rittery","image/cleistocactus_rittery.jpg"
"cleistocactus","cleistocactus smaragdiflorus","image/cleistocactus_smaragdiflorus.jpg"
"cleistocactus","cleistocactus strausii","image/cleistocactus_strausii.jpg"
"disocactus","disocactus flagelliformis","image/disocactus_flagelliformis.jpg"
"disocactus","disocactus martianus","image/disocactus_martianus.jpg"
"rebutia","rebutia heliosa","image/rebutia_heliosa.jpg"
"rebutia","rebutia minuscula","image/rebutia_minuscula.jpg"
"rebutia","rebutia pygmaea","image/rebutia_pygmaea.jpg"
"trichocereus","trichocereus fulvilanus","image/trichocereus_fulvilanus.jpg"
"trichocereus","trichocereus hybr","image/trichocereus_hybr.jpg"